,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,seats
41,Mahindra Xylo E8,4.0,0.0,2009,1,60000.0,0,1,1,14.0,2498.0,5
42,Chevrolet Sail 1.3 Base,3.0,0.0,2014,1,90000.0,0,1,1,22.1,1248.0,5
43,Hyundai Xcent 1.2 Kappa SX,5.0,0.0,2015,1,20000.0,0,4,1,19.1,1197.0,5
44,Hyundai i20 1.4 Asta Option,8.5,0.0,2018,1,15000.0,0,1,1,22.54,1396.0,5
45,Hyundai i20 1.2 Magna Executive,5.98,7.63,2018,1,40000.0,0,4,1,18.6,1197.0,5
46,Honda City i VTEC CVT SV,7.0,12.68,2015,0,31180.0,0,4,0,18.0,1497.0,5
47,Mahindra TUV 300 mHAWK100 T8 AMT,9.0,0.0,2018,1,40000.0,0,1,0,18.49,1493.0,5
49,Tata Indigo LS TDI BSIII,3.0,0.0,2015,1,58000.0,0,1,1,19.09,1396.0,5
50,Maruti Swift Dzire ZDI,4.1,0.0,2014,0,56000.0,0,1,1,23.4,1248.0,5
51,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3.0,0.0,2011,1,93000.0,0,1,1,20.5,1248.0,5
52,Ambassador Avigo 1800 ISZ MPFI AC,2.25,0.0,2010,0,86000.0,0,4,1,12.2,1817.0,5
53,Maruti Swift VDI BSIV,3.0,0.0,2011,1,120000.0,0,1,1,17.8,1248.0,5
54,Maruti Baleno Zeta Automatic,5.9,6.68,2016,0,52427.0,0,4,0,21.4,1197.0,5
55,Mahindra Bolero B6,8.5,8.93,2020,1,40000.0,0,1,1,21.0,1498.0,5
56,Tata Nano Cx BSIV,1.08,0.0,2011,1,70000.0,0,4,1,26.0,624.0,5
57,Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,6.88,2018,1,17000.0,0,4,1,18.15,1198.0,5
58,Toyota Etios G,3.25,0.0,2012,0,54325.0,0,4,1,17.6,1496.0,5
59,Maruti Baleno Vxi - BSIII,6.25,6.81,2016,0,22000.0,0,4,1,15.4,1590.0,5
60,Maruti Swift Dzire ZXI,6.0,6.98,2016,1,54000.0,0,4,1,20.85,1197.0,5
61,Maruti Wagon R LXI Optional,4.45,5.11,2019,1,10000.0,0,4,1,20.51,998.0,5
62,Maruti Ignis 1.2 Delta BSIV,5.3,5.77,2019,1,20000.0,0,4,1,20.89,1197.0,5
63,Toyota Corolla Altis GL,3.85,0.0,2011,0,61000.0,0,4,1,14.53,1798.0,5
64,Maruti Wagon R LXI CNG,4.1,5.97,2018,2,53237.0,0,0,1,26.6,998.0,5
65,Datsun RediGO Gold 1.0,3.5,3.29,2018,1,27263.0,0,4,1,22.5,999.0,5
66,Tata Indigo eLX BS IV,2.65,0.0,2014,1,90000.0,0,1,1,25.0,1396.0,5
67,Hyundai Verna 1.6 CRDI,5.2,12.84,2014,1,110000.0,0,1,1,22.32,1582.0,5
68,Hyundai i20 Asta Option 1.4 CRDi,7.5,9.59,2016,1,70000.0,0,1,1,22.54,1396.0,5
69,Maruti Swift Dzire VDI,5.6,0.0,2017,1,70000.0,0,1,1,26.59,1248.0,5
70,Tata Vista TDI LS,2.0,0.0,2014,1,190000.0,0,1,1,19.1,1405.0,5
71,Hyundai Xcent 1.2 CRDi SX,6.0,0.0,2017,1,40000.0,0,1,1,25.4,1186.0,5
72,Hyundai i20 1.2 Spotz,6.55,8.03,2019,0,39000.0,0,4,1,18.6,1197.0,5
73,Hyundai Santro Xing XE,1.25,0.0,2007,0,56000.0,0,4,1,17.8,1086.0,5
74,Toyota Corolla Altis 1.8 VL AT,4.25,0.0,2009,0,58000.0,0,4,0,14.53,1794.0,5
75,Maruti Omni E MPI STD BS IV,2.2,0.0,2017,1,40000.0,0,4,1,16.8,796.0,5
76,Hyundai i20 1.2 Spotz,5.5,7.83,2018,1,34000.0,0,4,1,18.6,1197.0,5
77,Mahindra Scorpio 1.99 S10,11.5,15.1,2017,1,50000.0,0,1,1,15.4,1997.0,5
78,Volkswagen Vento Diesel Highline,5.0,0.0,2012,1,77400.0,0,1,1,20.54,1598.0,5
79,Mahindra Marazzo M2 BSIV,9.9,13.89,2019,1,36000.0,0,1,1,17.3,1497.0,5
80,Hyundai Verna SX Opt Diesel,5.51,12.74,2013,0,47876.0,0,1,1,25.0,1493.0,5
81,Mahindra XUV500 W11 Option AT BSIV,16.5,16.54,2018,1,21500.0,0,1,0,15.1,2179.0,5
82,Hyundai Grand i10 CRDi Magna,3.5,0.0,2015,0,75000.0,0,1,1,24.0,1120.0,5
83,Ford Aspire 1.2 Ti-VCT Titanium,5.0,6.85,2017,0,58000.0,0,4,1,18.16,1196.0,5
84,Maruti Swift Dzire VXI 1.2,5.75,6.85,2018,1,30000.0,0,4,1,21.21,1197.0,5
85,Hyundai Grand i10 1.2 CRDi Asta,5.45,0.0,2018,1,50000.0,0,1,1,24.0,1186.0,5
86,Ford Figo 1.2P Titanium MT,5.25,6.02,2017,2,19093.0,0,4,1,18.16,1196.0,5
87,Honda Amaze E i-Vtech,4.0,7.02,2014,1,50000.0,0,4,1,18.0,1198.0,5
88,Maruti Wagon R LXI BSIII,1.55,5.16,2006,0,37000.0,0,4,1,14.0,1061.0,5
89,Mahindra Supro VX 8 Str,5.4,0.0,2019,1,3888.0,0,1,1,23.5,909.0,5
90,Maruti Swift Dzire VDI,5.45,0.0,2016,0,47000.0,0,1,1,26.59,1248.0,5
91,Honda City V MT,5.45,13.13,2013,1,70000.0,0,4,1,16.8,1497.0,5
92,Renault KWID RXL,2.4,3.62,2016,1,25000.0,0,4,1,25.17,799.0,5
93,Maruti Vitara Brezza LDi Option,7.25,0.0,2018,0,26000.0,0,1,1,24.3,1248.0,5
94,Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,6.85,2017,1,30000.0,0,4,1,18.16,1196.0,5
95,Hyundai i20 Magna Optional 1.2,3.75,7.83,2013,1,15000.0,0,4,1,18.5,1197.0,5
96,Maruti Swift VDi BSIII W/ ABS,2.25,0.0,2011,1,160000.0,0,1,1,17.8,1248.0,5
97,Tata Tiago 1.2 Revotron XZ,4.0,5.63,2017,1,32100.0,0,4,1,23.84,1199.0,5
98,Hyundai i20 Magna Optional 1.2,5.5,8.03,2016,0,22000.0,0,4,1,18.5,1197.0,5
99,Mahindra Scorpio S10 7 Seater,10.5,0.0,2016,0,44000.0,0,1,1,15.4,2179.0,5
100,Volkswagen Polo 1.2 MPI Trendline,4.5,6.94,2016,0,78000.0,0,4,1,18.78,1198.0,5
101,Mercedes-Benz C-Class C 200 CGI Elegance,7.75,47.62,2012,0,74352.0,0,4,0,11.74,1796.0,5
102,Maruti Wagon R VXI,3.5,5.16,2014,1,37000.0,0,4,1,20.51,998.0,5
103,Honda City i DTEC VX Option,5.5,14.79,2014,0,69000.0,0,1,1,25.1,1498.0,5
104,Kia Seltos HTK Plus G,10.8,11.19,2019,1,12120.0,0,4,1,16.8,1497.0,5
105,Maruti Baleno Delta,5.75,0.0,2016,0,52000.0,0,4,1,21.01,1197.0,5
106,Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,0.0,2016,1,120000.0,0,1,1,12.99,2494.0,5
107,Maruti Alto 800 LXI,2.3,3.47,2013,1,55000.0,0,4,1,22.74,796.0,5
108,Hyundai i20 1.4 CRDi Magna,2.7,8.6,2011,1,160000.0,0,1,1,21.9,1396.0,5
109,Chevrolet Beat Diesel LS,1.65,0.0,2012,0,42000.0,0,1,1,25.44,936.0,5
110,Ford Figo Petrol EXI,1.3,6.13,2011,1,40000.0,0,4,1,15.6,1196.0,5
111,Maruti Swift Dzire VXI,3.7,6.53,2012,0,46000.0,0,4,1,19.1,1197.0,5
112,Maruti Baleno Delta 1.2,5.7,6.68,2017,0,25000.0,0,4,1,21.4,1197.0,5
113,Toyota Etios GD,3.9,0.0,2015,1,240000.0,0,1,1,23.59,1364.0,5
114,Volkswagen Polo Diesel Comfortline 1.2L,3.65,0.0,2013,0,90000.0,0,1,1,22.07,1199.0,5
115,Hyundai i20 Magna,2.8,0.0,2012,0,49566.0,0,4,1,18.5,1197.0,5
116,Hyundai Verna CRDi 1.6 AT SX Option,12.5,13.09,2018,0,14000.0,0,1,0,22.0,1582.0,5
117,Hyundai i20 2015-2017 Sportz 1.2,5.9,8.03,2016,0,11000.0,0,4,1,18.6,1197.0,5
118,Maruti Celerio VXI AMT BSIV,4.75,5.3,2018,1,5000.0,0,4,0,23.1,998.0,5
119,Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,10.14,2017,0,55000.0,0,1,1,23.0,1498.0,5
120,Hyundai Verna SX CRDi AT,3.8,0.0,2012,0,65000.0,0,1,0,19.08,1582.0,5
121,Renault KWID 1.0 RXT Optional,3.3,3.97,2018,1,22000.0,0,4,1,23.01,999.0,5
122,Maruti Baleno Delta,6.5,6.68,2018,2,7671.0,0,4,1,21.01,1197.0,5
123,Maruti Wagon R LXI,3.25,5.11,2016,1,66000.0,0,4,1,20.51,998.0,5
124,Maruti Swift Dzire AMT VXI,6.4,6.56,2018,0,45156.0,0,4,0,21.21,1197.0,5
125,Hyundai Venue SX Opt Turbo BSIV,9.49,7.19,2019,1,25000.0,0,4,1,18.27,998.0,5
126,Nissan Terrano XL Plus 85 PS,7.5,0.0,2015,1,70000.0,0,1,1,20.45,1461.0,5
127,Hyundai Verna 1.6 CRDi SX,6.6,12.84,2015,1,120000.0,0,1,1,23.9,1582.0,5
128,Maruti Swift VXi BSIV,4.35,6.35,2014,0,28000.0,0,4,1,16.1,1197.0,5
129,Hyundai i20 Sportz 1.4 CRDi,3.85,9.74,2013,0,55000.0,0,1,1,21.9,1396.0,5
130,Hyundai Santa Fe 4X2,10.0,0.0,2011,1,104000.0,0,1,1,14.66,2199.0,5
131,Hyundai Verna CRDi 1.6 AT SX Option,12.5,13.09,2019,0,14000.0,0,1,0,22.0,1582.0,5
132,Hyundai Xcent 1.2 VTVT SX,5.5,0.0,2017,1,18000.0,0,4,1,20.14,1197.0,5
133,Maruti Wagon R LX BS IV,1.55,5.3,2009,0,98780.0,0,4,1,18.9,998.0,5
134,Maruti Swift VDI BSIV,4.15,0.0,2015,0,58000.0,0,1,1,25.2,1248.0,5
135,Maruti Alto K10 2010-2014 VXI,2.51,0.0,2011,1,30000.0,0,4,1,20.92,998.0,5
136,Mahindra Scorpio S10 7 Seater,11.5,15.1,2016,0,46400.0,0,1,1,15.4,2179.0,5
137,Hyundai i10 Magna 1.1L,3.1,0.0,2014,2,32111.0,0,4,1,19.81,1086.0,5
138,Datsun GO Plus T BSIV,3.5,4.8,2015,1,35000.0,0,4,1,19.44,1198.0,5
139,Mahindra Scorpio 1.99 S6 Plus,11.25,15.1,2017,0,30000.0,0,1,1,15.4,1997.0,5
141,Chevrolet Beat LT,2.0,0.0,2017,1,43890.0,0,4,1,17.8,1199.0,5
142,Datsun GO Plus Anniversary Edition,4.8,4.97,2018,1,10000.0,0,4,1,20.62,1198.0,5
143,Maruti Swift Dzire AMT ZDI Plus,8.5,0.0,2017,1,25000.0,0,1,0,28.4,1248.0,5
144,Hyundai Creta 1.6 CRDi AT SX Plus,11.0,11.7,2017,0,102000.0,0,1,0,17.01,1582.0,5
145,Maruti Swift VXI 2018,5.75,0.0,2018,0,35000.0,0,4,1,22.0,1197.0,5
147,Maruti Swift Dzire VXi,3.4,6.56,2012,0,49948.0,0,4,1,17.5,1298.0,5
148,Tata Indigo eLX BS IV,5.59,0.0,2018,1,114851.0,0,1,1,25.0,1396.0,5
149,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,10.15,2018,1,55000.0,0,1,1,23.0,1498.0,5
150,Hyundai Grand i10 Magna,4.0,6.48,2015,0,36000.0,0,4,1,18.9,1197.0,5
151,Hyundai Xcent 1.2 CRDi S,5.6,0.0,2019,1,35000.0,0,1,1,25.4,1186.0,5
152,Honda City i VTEC VX Option,7.25,12.68,2016,0,49625.0,0,4,1,17.8,1497.0,5
153,Maruti Swift Dzire ZDI,6.0,0.0,2014,1,35000.0,0,1,1,23.4,1248.0,5
154,Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,14.79,2013,1,95000.0,0,1,1,12.05,2179.0,5
155,Ford Aspire 1.5 TDCi Titanium,5.85,9.72,2017,0,36000.0,0,1,1,25.83,1498.0,5
156,Maruti Wagon R VXI,4.11,5.36,2019,1,50000.0,0,4,1,21.79,998.0,5
157,Maruti Swift Dzire VXI,4.5,6.8,2015,1,26500.0,0,4,1,20.85,1197.0,5
158,Honda CR-V 2.0L 2WD AT,12.9,32.64,2015,0,80000.0,0,4,0,13.7,1997.0,5
159,Volkswagen Polo 1.2 MPI Highline,4.55,0.0,2015,0,46000.0,0,4,1,16.47,1198.0,5
160,Hyundai Grand i10 Nios Asta,7.1,5.96,2019,1,9000.0,0,4,1,20.7,1197.0,5
161,Mahindra TUV 300 T4,4.5,0.0,2016,1,70000.0,0,1,1,18.49,1493.0,5
162,Toyota Etios Liva 1.2 VX,4.65,0.0,2015,0,33000.0,0,4,1,17.71,1197.0,5
163,Honda City V MT,7.7,12.68,2016,0,53000.0,0,4,1,16.8,1497.0,5
164,Tata Indigo LS (TDI) BS-III,3.2,0.0,2015,1,50000.0,0,1,1,19.09,1405.0,5
165,Tata Indigo LX (TDI) BS-III,3.25,0.0,2015,1,50000.0,0,1,1,19.09,1405.0,5
167,Honda Amaze VX i-DTEC,7.2,8.99,2018,1,50000.0,0,1,1,25.8,1498.0,5
168,Mahindra KUV 100 mFALCON D75 K6 5str,3.75,0.0,2016,0,52000.0,0,1,1,25.32,1198.0,5
169,Chevrolet Aveo 1.4 LT ABS BSIV,1.45,0.0,2010,1,60000.0,0,4,1,14.49,1399.0,5
170,Datsun GO Plus T BSIV,4.0,4.8,2015,1,35000.0,0,4,1,19.44,1198.0,5
171,Renault Duster 85PS Diesel RxL Plus,6.0,0.0,2015,1,48000.0,0,1,1,19.87,1461.0,5
172,Honda Jazz 1.2 V i VTEC,6.0,8.56,2018,1,18000.0,0,4,1,18.7,1199.0,5
173,Maruti Wagon R LXI DUO,2.7,0.0,2012,1,57413.0,0,3,1,14.4,998.0,5
174,Hyundai i20 Magna 1.2,5.0,7.63,2015,1,30000.0,0,4,1,18.6,1197.0,5
175,Hyundai Verna 1.6 CRDi SX,6.5,13.09,2015,0,55000.0,0,1,1,23.9,1582.0,5
176,Chevrolet Sail 1.2 LS ABS,3.8,0.0,2015,1,120000.0,0,4,1,18.2,1199.0,5
177,Mitsubishi Pajero Sport 4X4,7.28,0.0,2012,1,165000.0,0,1,1,13.5,2477.0,5
178,Maruti Swift AMT ZXI,6.6,6.29,2018,1,10000.0,0,4,0,21.21,1197.0,5
179,Tata Indica Vista Aura 1.3 Quadrajet,1.8,0.0,2010,1,120000.0,0,1,1,18.0,1248.0,5
180,BMW 3 Series 320d Luxury Line,20.9,0.0,2016,0,68000.0,0,1,0,22.69,1995.0,5
181,Chevrolet Beat Diesel LS,2.5,0.0,2015,0,55000.0,0,1,1,25.44,936.0,5
182,Kia Seltos HTK Plus G,12.75,11.52,2020,0,8000.0,0,4,1,16.8,1497.0,5
183,Toyota Corolla Altis G,4.55,0.0,2012,0,80000.0,0,4,1,14.53,1798.0,5
184,Maruti Swift VDI,4.95,0.0,2015,0,65000.0,0,1,1,28.4,1248.0,5
185,Maruti Ritz VXI,2.2,0.0,2010,1,47000.0,0,4,1,21.1,1197.0,5
186,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8.0,0.0,2018,1,185000.0,0,1,1,25.1,1248.0,5
187,Hyundai Santa Fe 2WD AT,12.95,0.0,2014,0,68000.0,0,1,0,13.01,2199.0,5
188,Hyundai Grand i10 Sportz,4.75,7.11,2016,1,25000.0,0,4,1,18.9,1197.0,5
190,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9.0,0.0,2018,1,7791.0,0,1,1,25.1,1248.0,5
191,Maruti Ciaz VXi Plus,5.3,9.42,2015,1,70000.0,0,4,1,20.73,1373.0,5
192,Tata Tiago 1.2 Revotron XZ,5.3,5.53,2016,1,9500.0,0,4,1,23.84,1199.0,5
193,Hyundai Verna 1.6 VTVT S,6.5,10.18,2015,1,9100.0,0,4,1,17.01,1591.0,5
194,Honda New Accord 2008-2011 2.4 MT,4.95,0.0,2010,0,82000.0,0,4,1,12.8,2354.0,5
195,Honda City 1.5 S MT,3.35,12.24,2010,0,86000.0,0,4,1,17.0,1497.0,5
197,Audi A4 2.0 TDI,12.9,0.0,2013,0,78000.0,0,1,0,16.55,1968.0,5
198,Ford Figo Diesel Titanium,3.0,0.0,2011,1,60000.0,0,1,1,20.0,1399.0,5
199,Maruti Wagon R ZXI AMT 1.2BSIV,5.5,5.11,2019,2,7883.0,0,4,0,21.5,1197.0,5
200,Maruti Swift Dzire LDI,3.9,0.0,2013,2,50205.0,0,1,1,23.4,1248.0,5
201,Mahindra Bolero DI AC BSIII,2.6,8.93,2008,1,220000.0,0,1,1,13.6,2523.0,5
202,Tata Tigor 1.05 Revotorq XT,3.95,0.0,2017,0,58000.0,0,1,1,24.7,1047.0,5
203,Mahindra Scorpio SLE BSIII,5.5,14.9,2012,1,170000.0,0,1,1,12.05,2179.0,5
204,Maruti Swift Dzire VXI 1.2 BS IV,6.5,6.62,2018,1,15000.0,0,4,1,22.0,1197.0,5
205,Maruti Swift DDiS LDI,3.75,0.0,2016,0,71245.0,0,1,1,28.4,1248.0,5
206,Tata Manza ELAN Quadrajet BS IV,3.0,0.0,2012,1,20000.0,0,1,1,21.12,1248.0,5
207,Toyota Etios VX,4.5,0.0,2016,0,52000.0,0,4,1,16.78,1496.0,5
208,Honda Brio S MT,3.35,0.0,2015,1,61000.0,0,4,1,19.4,1198.0,5
209,Kia Seltos GTK,13.0,11.19,2019,1,7000.0,0,4,1,16.1,1353.0,5
210,Maruti Alto K10 VXI,3.6,0.0,2018,1,20000.0,0,4,1,23.95,998.0,5
211,Maruti Celerio ZXI,5.05,5.3,2020,1,8700.0,0,4,1,21.63,998.0,5
212,Maruti Alto 800 LXI,3.1,3.47,2019,1,25000.0,0,4,1,24.7,796.0,5
213,Hyundai i20 Asta Option BSIV,5.45,8.03,2015,0,42000.0,0,4,1,18.6,1197.0,5
214,Mahindra Xylo E4,3.0,0.0,2009,1,120000.0,0,1,1,14.0,2498.0,5
215,Chevrolet Aveo 1.4 LS Limited Edition,2.0,0.0,2009,1,60000.0,0,4,1,14.4,1399.0,5
216,Mahindra Bolero DI,1.5,9.05,2006,1,120000.0,0,1,1,13.6,2523.0,5
217,Maruti Baleno Delta 1.2,5.8,6.58,2018,1,50000.0,0,4,1,21.4,1197.0,5
218,Maruti Wagon R VXI BS IV,2.5,5.35,2011,1,58000.0,0,4,1,18.9,998.0,5
219,Hyundai Verna 1.4 VTVT,6.5,10.54,2017,1,36000.0,0,4,1,17.43,1396.0,5
220,Maruti SX4 S Cross DDiS 200 Zeta,8.0,0.0,2016,1,80000.0,0,1,1,23.65,1248.0,5
221,Audi Q3 2.0 TDI Quattro Premium Plus,14.75,0.0,2013,0,71000.0,0,1,0,15.73,1968.0,5
222,Maruti Ertiga VDI,4.1,0.0,2018,1,30000.0,0,1,1,25.47,1248.0,5
223,Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.31,10.14,2015,0,162828.0,0,1,1,22.77,1498.0,5
224,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,8.9,0.0,2018,1,7500.0,0,1,1,23.0,1498.0,5
225,Tata Safari Storme EX,7.75,0.0,2016,0,47227.0,0,1,1,14.0,2179.0,5
227,Ford Figo Diesel ZXI,1.85,8.96,2012,0,74000.0,0,1,1,20.0,1399.0,5
228,Mahindra Bolero 2011-2019 SLX,4.4,9.05,2011,0,47000.0,0,1,1,15.96,2523.0,5
229,Hyundai i20 Sportz 1.2,4.5,7.63,2015,1,50000.0,0,4,1,18.6,1197.0,5
230,Maruti Baleno Zeta 1.2,6.0,6.93,2017,1,100000.0,0,4,1,21.4,1197.0,5
231,Maruti Celerio VXI,3.2,5.12,2014,1,35000.0,0,4,1,23.1,998.0,5
232,Hyundai i20 Active 1.4 SX,7.0,0.0,2016,1,50000.0,0,1,1,21.19,1396.0,5
233,Ford Aspire 1.2 Ti-VCT Titanium,6.3,6.85,2018,1,10000.0,0,4,1,18.16,1196.0,5
234,Maruti Alto 800 VXI Airbag,3.2,3.47,2016,1,10370.0,0,4,1,22.74,796.0,5
235,Honda City V MT,4.65,12.68,2013,0,62000.0,0,4,1,16.8,1497.0,5
236,Tata Manza Aura Quadrajet BS IV,2.75,0.0,2011,1,70000.0,0,1,1,21.12,1248.0,5
237,Nissan Sunny Diesel XL,3.7,0.0,2013,1,250000.0,0,1,1,21.64,1461.0,5
238,Hyundai i20 Sportz 1.2,5.5,0.0,2016,1,40000.0,0,4,1,18.6,1197.0,5
239,Maruti Swift VVT VXI,4.45,6.29,2017,1,60000.0,0,4,1,22.0,1197.0,5
240,Tata Safari Storme VX,7.05,0.0,2013,0,67231.0,0,1,1,14.0,2179.0,5
242,Nissan Micra Diesel XV,4.2,0.0,2012,0,142587.0,0,1,1,23.08,1461.0,5
243,Honda City i DTec SV,4.75,0.0,2014,0,63000.0,0,1,1,26.0,1498.0,5
245,Honda City 2017-2020 VTEC,3.5,12.68,2011,0,55000.0,0,4,1,16.9,1497.0,5
246,Hyundai i20 2015-2017 Sportz Option 1.2,5.75,8.03,2016,0,11000.0,0,4,1,18.6,1197.0,5
247,Toyota Etios Liva GD,4.66,0.0,2016,0,66000.0,0,1,1,23.59,1364.0,5
248,Renault KWID 1.0 RXT Optional,3.6,3.81,2017,1,17000.0,0,4,1,23.01,999.0,5
249,Maruti Alto 800 VXI Optional,2.75,3.47,2017,1,25000.0,0,4,1,24.7,796.0,5
250,Datsun GO Plus D,3.2,4.71,2016,1,33350.0,0,4,1,19.44,1198.0,5
252,Hyundai Grand i10 Magna,3.7,6.48,2015,0,62000.0,0,4,1,18.9,1197.0,5
253,Honda Brio E MT,2.5,0.0,2013,1,30000.0,0,4,1,19.4,1198.0,5
254,Maruti Swift Dzire ZXi,2.75,6.62,2009,1,59000.0,0,4,1,17.5,1298.0,5
255,Mercedes-Benz GLA AMG 45 4MATIC,19.5,0.0,2015,0,20000.0,0,4,0,12.33,1991.0,5
256,Honda City i VTEC V,5.5,12.68,2014,0,86113.0,0,4,1,17.4,1497.0,5
257,Toyota Corolla Altis Diesel D4DG,13.25,0.0,2016,0,45000.0,0,1,1,21.43,1364.0,5
258,Maruti Swift Dzire VDI,7.5,0.0,2018,1,10000.0,0,1,1,28.4,1248.0,5
259,Nissan Micra XV,2.9,0.0,2011,0,70000.0,0,4,1,18.06,1198.0,5
260,Maruti Wagon R VXI,2.72,5.35,2015,1,92537.0,0,4,1,20.51,998.0,5
261,Maruti Ciaz 1.3 Alpha,9.51,0.0,2019,0,27645.0,0,1,1,28.09,1248.0,5
262,Maruti Alto K10 2010-2014 VXI,2.8,0.0,2013,1,46242.0,0,4,1,20.92,998.0,5
263,Honda City V MT AVN,5.45,13.13,2013,1,70000.0,0,4,1,16.8,1497.0,5
264,Renault KWID RXT,4.5,0.0,2020,1,6000.0,0,4,1,22.3,799.0,5
